wpm,ac,r,t,sl,tid,gn,np,pts
133.99,0.98,1,1649114779.542,L6,3640623,2341,5,136.23
121.52,0.99,1,1649098186.392,L6,3550097,2340,3,109.37
134.57,0.99,2,1649094220.595,L6,4180241,2339,4,112.14
156.86,1,1,1648918354.435,L6,3550074,2338,3,96.73
141.13,0.99,1,1648844458.466,L6,4350522,2337,2,87.03
135.35,0.98,2,1648842434.152,L6,4350214,2336,5,92.49
143.93,0.99,1,1648842349.487,L6,3950000,2335,5,86.36
118.97,0.96,2,1648841857.683,L6,3810955,2334,4,79.31
124.82,0.98,1,1648826181.123,L6,4180003,2333,5,72.81
131.21,0.98,1,1648663392.356,L6,3620558,2332,5,85.28
124.15,0.98,1,1648496083.707,L6,3640646,2331,5,155.19
121.15,0.98,1,1648144631.031,L6,4180563,2330,5,46.44
129.73,0.99,1,1648054748.783,L6,3811278,2329,5,153.52
133.85,0.98,1,1648053704.357,L6,3550207,2328,5,158.39
118,0.97,1,1647895999.385,L6,3622293,2327,3,98.33
136.73,0.99,2,1647891889.217,L6,4350640,2326,5,97.99
133.19,0.97,1,1647880741.429,L6,541,2325,3,86.57
127.99,0.98,1,1647880658.647,L6,50,2324,5,119.46
149.58,1,1,1647880594.979,L6,4070262,2323,5,137.12
113.22,0.97,1,1647879423.106,L6,104,2322,5,66.04
136.06,0.99,1,1647879372.641,L6,4070245,2321,4,92.97
128.65,0.99,2,1647879310.829,L6,3622422,2320,5,128.65
137.9,1,1,1647701825.049,L6,3641028,2319,5,78.14
111.92,0.97,3,1647647839.914,L6,455,2318,5,100.72
116.07,0.97,1,1647640728.751,L6,3810116,2317,3,81.25
118.84,0.98,2,1647639254.227,L6,4060075,2316,5,83.18
135.48,0.99,1,1647623700.987,L6,3620978,2315,5,74.51
124.95,0.98,1,1647623578.115,L6,3810105,2314,2,185.34
145.69,1,1,1647623429.079,L6,3641175,2313,4,97.12
134.07,0.99,1,1647623385.15,L6,91,2312,5,69.27
138.37,1,2,1647615520.381,L6,3640372,2311,5,92.25
128.2,0.98,2,1647547629.307,L6,3620113,2310,4,66.24
109.87,0.97,1,1647452172.772,L6,3810576,2309,4,86.06
130.75,0.98,1,1647452081.634,L6,4060062,2308,5,87.17
134.63,0.98,1,1647450006.214,L6,4350123,2307,3,103.22
143.82,0.99,1,1647449913.569,L6,3810030,2306,2,170.19
124.56,0.99,4,1647449033.754,L6,4180563,2305,5,47.75
117.65,0.97,1,1647392995.277,L6,4350280,2304,5,109.8
